City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,pucon,-39.2822,-71.9543,287.44,85,86,1.74,CL,1697670715
83,longyearbyen,78.2186,15.6401,275.06,87,100,8.23,SJ,1697670776
84,ilulissat,69.2167,-51.1,264.16,73,100,2.57,GL,1697670776
85,yerofey pavlovich,53.9667,121.9667,270.88,60,38,2.06,RU,1697670777
86,port alfred,-33.5906,26.891,289.92,96,82,0.45,ZA,1697670777
87,afaahiti,-17.75,-149.2833,299.08,82,91,7.72,PF,1697670778
88,haiku-pauwela,20.9219,-156.3051,302.16,55,20,10.29,US,1697670778
89,rongelap,11.1635,166.8941,300.54,78,100,5.55,MH,1697670778
90,kodiak,57.79,-152.4072,283.88,35,0,16.98,US,1697670779
91,nikolayevsk-on-amure,53.1406,140.73,278.34,97,100,0.83,RU,1697670586
92,vernon,50.2581,-119.2691,289.98,73,98,3.09,CA,1697670760
93,georgetown,5.4112,100.3354,299.27,89,20,0.0,MY,1697670409
94,newman,37.3138,-121.0208,305.5,34,0,0.45,US,1697670781
95,tura,25.5198,90.2201,292.62,90,0,1.35,IN,1697670781
96,karratha,-20.7377,116.8463,301.42,34,0,4.58,AU,1697670781
97,lebu,-37.6167,-73.65,285.24,79,6,3.6,CL,1697670636
98,nogliki,51.8333,143.1667,278.9,83,100,1.79,RU,1697670782
99,freeport,40.6576,-73.5832,289.81,76,100,2.57,US,1697670783
100,karachi,24.9056,67.0822,299.05,73,2,3.09,PK,1697670534
101,leava,-14.3,-178.1667,299.74,79,100,9.55,WF,1697670784
102,klaksvik,62.2266,-6.589,281.66,85,100,14.13,FO,1697670784
103,vilyuchinsk,52.9306,158.4028,283.3,72,84,4.8,RU,1697670784
104,isla vista,34.4133,-119.861,311.17,58,75,3.09,US,1697670785
105,prabumulih,-3.45,104.25,296.08,90,98,1.6,ID,1697670785
106,thompson,55.7435,-97.8558,278.24,70,40,1.03,CA,1697670786
107,tazovsky,67.4667,78.7,277.34,94,100,5.69,RU,1697670786
108,college,64.8569,-147.8028,271.12,70,100,4.63,US,1697670560
109,antsiranana,-12.2787,49.2917,297.14,88,25,4.85,MG,1697670666
110,vize,41.5725,27.7658,283.17,83,4,2.2,TR,1697670787
111,kuacjok,8.3002,27.9903,296.52,87,100,1.49,SS,1697670788
112,labuan bajo,-8.4964,119.8877,299.32,67,95,0.69,ID,1697670789
113,bethel,41.3712,-73.414,287.91,80,100,2.57,US,1697670773
114,bikenibeu village,1.3673,173.1241,299.13,89,100,8.23,KI,1697670790
115,udachny,66.4167,112.4,262.29,92,81,1.85,RU,1697670791
116,hithadhoo,-0.6,73.0833,299.69,81,61,3.27,MV,1697670791
117,aripuana,-9.1667,-60.6333,302.4,50,54,0.54,BR,1697670792
118,sungailiat,-1.85,106.1333,299.7,85,87,3.14,ID,1697670792
119,polyarnyy,69.1989,33.4478,274.92,61,100,9.87,RU,1697670792
